date,campaign_name,adset_name,ad_name,impressions,clicks,spend,conversions
2026-08-18,[제과_블트하]_블트깡출시_전환_video,(칩) 관계성네고형_블트칩출시 (KR2),[26.08]F_V_BT칩_전환_블트칩출시_네고형_관계성네고형.KR2_var1.릴스_공통시작.시어머니.X_2P_김소희_260801_제과_이미진,38662,559,154836.0,17
2026-08-18,[제과_블트하]_블트깡출시_전환_video,0814_젤리백BP_블트칩출시 (KR 2),[26.08]F_V_BT혼_전환_블트칩출시_신규BP_젤리백BP.이국주.KR1_var4.릴스_이국주+조합.X_2P_최나영_260814_제과_이봄1,127,6,799.0,0
2026-08-18,[제과_블트하]_블트깡출시_전환_video,(칩) 관계성네고형_블트칩출시 (KR2),[26.08]F_V_BT칩_전환_블트칩출시_네고형_관계성네고형.KR2_main.릴스_맥주취식.시어머니.X_2P_김소희_260801_제과_이미진,20,0,75.0,0
2026-08-18,[제과_블트하]_블트깡출시_전환_video,0814_오프아워BP_블트칩출시 (이국주) (KR1),[26.08]F_V_BT혼_전환_블트깡출시_신규BP_오프아워BP.이국주.KR1_var2.릴스_댓글.X_2P_김소희_260814_제과_이미진,908,45,7163.0,0
2026-08-18,[제과_블트하]_블트깡출시_전환_video,0814_젤리백BP_블트칩출시 (KR 2),[26.08]F_V_BT혼_전환_블트칩출시_신규BP_젤리백BP.이국주.KR1_var2.릴스_이국주+핫함.X_2P_최나영_260814_제과_이봄1,260,2,2152.0,0
2026-08-18,[제과_블트하]_블트깡출시_전환_video,0813_브랜든BP_블트깡출시,[26.08]F_V_BT깡_전환_블트깡출시_신규BP_브랜든배너형BP_var5.릴스_고급간식1티어.할인추가.X_2P_최재원_260814_제과_최재원,3542,73,21101.0,2
2026-08-18,[제과_블트하]_블트깡출시_전환_video,0814_현장네고형_블트깡출시 (이국주) (KR1),[26.08]F_V_BT칩_전환_블트칩출시_네고형_현장네고형.이국주.KR1_main.릴스_이국주.슬기.X_1P_최나영_260814_제과_피재은,2225,28,8736.0,0
2026-08-18,[제과_블트하]_블트깡출시_전환_video,0811_라이브커머스형_블트깡출시 (KR1),[26.08]F_V_BT깡_전환_블트깡출시_라이브커머스형_라이브커머스형.KR1_var5.릴스_전체.맛비주얼.슬기.X_1P_김소희_260812_제과_피재은,870,24,10202.0,1
2026-08-18,[제과_블트하]_블트깡출시_전환_video,0813_브랜든BP_블트깡출시,[26.08]F_V_BT깡_전환_블트깡출시_신규BP_브랜든배너형BP_var2.릴스_고급간식1티어.X_2P_최재원_260813_제과_최재원,458,17,2584.0,0
2026-08-18,[제과_블트하]_블트깡출시_전환_video,0811_아란이네BP_블트깡출시 (KR1),[26.08]F_V_BT칩_전환_블트칩출시_신규BP_아린이네BP.KR1_var2.릴스_공구형.페인포인트.고구성.X_2P_최나영_260811_제과_윤성미,20,0,84.0,0
